screen_name,created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
CSEmelec,2023-02-01T20:14:07Z,1.62E+18,1.62088E+18,"¡Te esperamos en casa! 🔝

➡️ Disponible todas las localidades🎫

🏟 Boleterías del estadio George Capwell
💻 En línea en https://t.co/Fumpk74IUC y https://t.co/4rZvc0tuyM
🏢 Puntos Red Activa Western Union

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/GZK7f6wr1b","¡Te esperamos en casa! 🔝

➡️ Disponible todas las localidades🎫

🏟 Boleterías del estadio George Capwell
💻 En línea en https://t.co/Fumpk74IUC y https://t.co/4rZvc0tuyM
🏢 Puntos Red Activa Western Union

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/GZK7f6wr1b",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,58,221,FALSE,NA,FALSE,NA,es,FALSE,NA,233,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSEmelec,2023-02-01T16:28:40Z,1.62E+18,1.62082E+18,"Inicio de mes 😎

Mitad de semana en el polideportivo 💪🏻

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/QnaalRh341","Inicio de mes 😎

Mitad de semana en el polideportivo 💪🏻

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/QnaalRh341",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,58,299,FALSE,NA,FALSE,NA,es,FALSE,NA,87,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSEmelec,2023-01-31T17:32:02Z,1.62048E+18,1.62048E+18,"👤 ¿Cuco, listo para la #ExplosiónAzul ?
👻 🤙🏼

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/keeJjvuuC7","👤 ¿Cuco, listo para la #ExplosiónAzul ?
👻 🤙🏼

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/keeJjvuuC7",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,68,582,FALSE,NA,FALSE,NA,es,FALSE,NA,76,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSEmelec,2023-01-31T16:58:24Z,1.62047E+18,1.62047E+18,"🛫🧤🔒

📍 Polideportivo Los Samanes

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/fKAvfD005V","🛫🧤🔒

📍 Polideportivo Los Samanes

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/fKAvfD005V",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,60,372,FALSE,NA,FALSE,NA,es,FALSE,NA,64,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSEmelec,2023-01-30T16:44:26Z,1.6201E+18,1.6201E+18,"🗣️¡Vamos Vamos Azules... !💪🏻

➡️ Disponible todas las localidades🎫

🏟 Boleterías del estadio George Capwell
💻 En línea en https://t.co/Fumpk74IUC y https://t.co/4rZvc0tuyM
🏢 Puntos Red Activa Western Union

¡Te esperamos en casa! 🔝

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/mmHGFtixP6","🗣️¡Vamos Vamos Azules... !💪🏻

➡️ Disponible todas las localidades🎫

🏟 Boleterías del estadio George Capwell
💻 En línea en https://t.co/Fumpk74IUC y https://t.co/4rZvc0tuyM
🏢 Puntos Red Activa Western Union

¡Te esperamos en casa! 🔝

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/mmHGFtixP6",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,75,385,FALSE,NA,FALSE,NA,es,FALSE,NA,263,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSEmelec,2023-01-30T15:37:24Z,1.62008E+18,1.62008E+18,"🗓️ Planificación semanal ⬇️

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/tKBakcLRDw","🗓️ Planificación semanal ⬇️

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/tKBakcLRDw",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,79,396,FALSE,NA,FALSE,NA,es,FALSE,NA,59,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSEmelec,2023-01-30T00:02:47Z,1.61985E+18,1.61985E+18,"📃Comunicado importante

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/K65WeqbgSg","📃Comunicado importante

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/K65WeqbgSg",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,105,550,FALSE,NA,FALSE,NA,pt,FALSE,NA,54,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSEmelec,2023-01-29T13:38:29Z,1.62E+18,1.61969E+18,"🔚 Pretemporada en 🇦🇷

🔥 Gracias Salsipuedes, Córdoba 👏🏼

🔜Seguimos en Guayaquil 💪🏻

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/O3uXbGFzYW","🔚 Pretemporada en 🇦🇷

🔥 Gracias Salsipuedes, Córdoba 👏🏼

🔜Seguimos en Guayaquil 💪🏻

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/O3uXbGFzYW",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,113,698,FALSE,NA,FALSE,NA,es,FALSE,NA,114,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSEmelec,2023-01-28T16:16:16Z,1.61937E+18,1.61937E+18,"🗣️¡Como no te voy a querer... !💙

#ExplosiónAzul

➡️ ENTRADAS A LA VENTA🎫

🏟 Boleterías del estadio George Capwell
💻 En línea en https://t.co/Fumpk74IUC y https://t.co/4rZvc0tuyM
🏢 Puntos Red Activa Western Union

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/KuDGgfsNuS","🗣️¡Como no te voy a querer... !💙

#ExplosiónAzul

➡️ ENTRADAS A LA VENTA🎫

🏟 Boleterías del estadio George Capwell
💻 En línea en https://t.co/Fumpk74IUC y https://t.co/4rZvc0tuyM
🏢 Puntos Red Activa Western Union

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/KuDGgfsNuS",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,88,396,FALSE,NA,FALSE,NA,es,FALSE,NA,244,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSEmelec,2023-01-28T14:50:28Z,1.61935E+18,1.61935E+18,"🔚 Final del partido

@CSEmelec 1️⃣ x 2️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/0afWKZ2H2o","🔚 Final del partido

@CSEmelec 1️⃣ x 2️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/0afWKZ2H2o",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.61935E+18,1.61935E+18,15447575,15447575,CSEmelec,,,,NA,FALSE,20,114,FALSE,NA,FALSE,NA,en,FALSE,NA,85,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
